id,name,slug,category,subcategory,flavor,image_url,image_license_status,data_origin,notes
LC-REC-0001,Mousse chanh dây,mousse-chanh-day,Mousse,Chanh dây,Chanh dây (Passion fruit),product/1_Mousse_chanh_dây.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0002,Mousse dâu tươi,mousse-dau-tuoi,Mousse,Dâu tươi,Dâu tươi (Fresh strawberry),product/2_Mousse_dâu_tươi.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0003,Mousse matcha phô mai,mousse-matcha-pho-mai,Mousse,Matcha phô mai,Matcha phô mai (Matcha cheese),product/3_Mousse_matcha_phô_mai.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0004,Mousse chocolate đen,mousse-chocolate-en,Mousse,Chocolate đen,Chocolate đen (Dark chocolate),product/4_Mousse_chocolate_đen.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0005,Mousse việt quất,mousse-viet-quat,Mousse,Việt quất,Việt quất (Blueberry),product/5_Mousse_việt_quất.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0006,Tiramisu classic coffee,tiramisu-classic-coffee,Tiramisu,Coffee,Coffee (Classic),product/6_Tiramisu_classic_coffee.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0007,Tiramisu cacao,tiramisu-cacao,Tiramisu,Cacao,Cacao,product/7_Tiramisu_cacao.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0008,Tiramisu matcha,tiramisu-matcha,Tiramisu,Matcha,Matcha,product/8_Tiramisu_matcha.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0009,Tiramisu dâu,tiramisu-dau,Tiramisu,Dâu,Dâu (Strawberry),product/9_Tiramisu_dâu.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0010,Tiramisu oreo,tiramisu-oreo,Tiramisu,Oreo,Oreo,product/10_Tiramisu_oreo.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0011,Bông lan trứng muối basic,bong-lan-trung-muoi-basic,Bông lan,Trứng muối,Trứng muối (Salted egg),product/11_Bông_lan_trứng_muối_basic.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0012,Bông lan trứng muối phô mai,bong-lan-trung-muoi-pho-mai,Bông lan,Trứng muối phô mai,Trứng muối phô mai (Salted egg cheese),product/12_Bông_lan_trứng_muối_phô_mai.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0013,Bông lan trứng muối sốt dầu trứng,bong-lan-trung-muoi-sot-dau-trung,Bông lan,Trứng muối sốt dầu trứng,Trứng muối sốt dầu trứng (Salted egg + egg-oil sauce),product/13_Bông_lan_trứng_muối_sốt_dầu_trứng.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0014,Bông lan bơ sữa trái cây,bong-lan-bo-sua-trai-cay,Bông lan,Bơ sữa trái cây,Bơ sữa trái cây (Buttermilk fruit),product/14_Bông_lan_bơ_sữa_trái_cây.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0015,Bông lan bơ sữa chocolate chips,bong-lan-bo-sua-chocolate-chips,Bông lan,Bơ sữa chocolate chips,Bơ sữa chocolate chips (Buttermilk choc chip),product/15_Bông_lan_bơ_sữa_chocolate_chips.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0016,Bánh kem vanilla trái cây,banh-kem-vanilla-trai-cay,Bánh kem,Vanilla trái cây,Vanilla trái cây (Vanilla fruit),product/16_Banh_kem_vanilla_trai_cay.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0017,Bánh kem chocolate,banh-kem-chocolate,Bánh kem,Chocolate,Chocolate,product/17_Bánh_kem_chocolate.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0018,Bánh kem red velvet,banh-kem-red-velvet,Bánh kem,Red velvet,Red velvet,product/18_Bánh_kem_red_velvet.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0019,Bánh kem oreo,banh-kem-oreo,Bánh kem,Oreo,Oreo,product/19_Bánh_kem_oreo.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
LC-REC-0020,Bánh kem tiramisu kem,banh-kem-tiramisu-kem,Bánh kem,Tiramisu kem,Tiramisu kem (Tiramisu cream),product/20_Bánh_kem_tiramisu_kem.jpg,cc-license-unsplash-pexels-see-download-script,recovered,"Tên + ảnh khôi phục từ dữ liệu gốc bị mất (ảnh đã tải sẵn bởi scripts/download_product_images.py, xem git 3b9931c; tên khớp PRODUCT_NAME_MAPPING trong scripts/seed_gift_boxes.py). Giá là ước lượng theo thị trường (xem README), KHÔNG phải giá gốc đã mất. Nguyên liệu/allergen chưa xác thực."
